Track_ID,Track_Name,Track_Artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4MjDJD8cW7iVeWInc2Bdyj,MONACO,['Bad Bunny'],0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,267194,4
2bNCiY24Eh4saMcc23bvUN,ADIÓS,['Maria Becerra'],0.747,0.765,9,-4.184,0,0.0547,0.374,4.66e-06,0.202,0.514,98.012,160856,4
0iVcmJx7r74F7mTf7M6s0v,Me Escapé,"['DobleP', 'Lauty Gram', 'Gusty dj']",0.844,0.68,2,-6.085,1,0.0644,0.291,0.0,0.553,0.619,100.109,164101,4
3DeZc9cOc1DM8YNoJV8lAv,Toy en el Mic,"['Bizarrap', 'Milo j']",0.73,0.423,8,-10.953,0,0.145,0.464,0.0,0.202,0.91,100.941,143998,4
7v7RTZrtBsoENSPD0SCMLy,DIME SI ERES FELIZ VOL.2,"['BM', ""Hernan y La Champion's Liga""]",0.713,0.445,9,-9.624,1,0.0391,0.396,0.0,0.247,0.693,89.896,158047,4
6r0TaoZh1Oc1KkuL4rC1kB,DISPARA ***,"['Nicki Nicole', 'Milo j']",0.81,0.657,1,-2.978,1,0.155,0.48,0.0,0.108,0.698,89.972,143936,4
7xX7bER73YZSE4m76OpMXV,Salgo a Bailar,"['FMK', 'Emilia']",0.73,0.656,10,-2.628,1,0.0454,0.012,0.0,0.0872,0.694,137.829,157830,3
3ezO8gfskSWM3rk0GTfhFl,ATORRANTE - con Los Palmeras,"['Emanero', 'Ulises Bueno', 'Migrantes', 'Los Palmeras']",0.667,0.604,6,-5.119,0,0.128,0.262,0.0,0.0842,0.7,81.869,252348,4
79s2n0evTdub5GPj7noqfK,LUGARES QUE LLEGO,"['YSY A', 'Quevedo', 'ONIRIA']",0.727,0.936,1,-3.236,0,0.0547,0.354,0.000546,0.134,0.7,125.957,228629,4
2df5CkXBJO7jTGXm54dFJy,No_Se_Ve.mp3,"['Emilia', 'LUDMILLA', 'Zecca']",0.765,0.659,11,-5.059,0,0.0825,0.0892,3.83e-05,0.149,0.567,132.066,203636,4
6CIMoDfTsvFVGhFi3v9Izn,Luck Ra | Mission 15,"['Alan Gomez', 'Luck Ra']",0.691,0.728,4,-5.722,0,0.0986,0.177,0.0,0.171,0.814,160.02,133285,4
6abr2lKyMZTy21gSPWm7aG,Entre Beso y Beso,['Ke Personajes'],0.729,0.868,10,-1.669,0,0.0536,0.57,0.0,0.206,0.906,85.962,153488,4
0aPs3kmiqmt9QG7gWXdefA,No soy Eterno,"['Bizarrap', 'Milo j']",0.564,0.402,2,-6.488,0,0.329,0.44,6.25e-05,0.308,0.628,121.45,152903,4
5w7RsSgxxBwdVTSyQDj8Bi,DISCOTEKA (feat. Locura Mix),"['The La Planta', 'BM', 'Alejo Isakk', 'Locura Mix']",0.822,0.519,9,-7.183,1,0.136,0.178,0.0,0.0814,0.779,89.962,204481,4
6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,"['Feid', 'Young Miko']",0.859,0.658,11,-4.79,1,0.159,0.145,0.0,0.12,0.672,100.065,195987,4
3WndNMJo029mMO64l9hGFm,Dale Mecha,['Mesita'],0.623,0.636,4,-4.36,0,0.431,0.3,0.0,0.106,0.441,146.286,150829,3
7w7BrPbOjF5OxChs2dxFve,En La Intimidad | CROSSOVER #1,"['Big One', 'Emilia', 'Callejero Fino']",0.804,0.555,1,-4.991,1,0.107,0.0924,0.0,0.0699,0.64,89.946,172118,4
2kz1YOhJiNubjigR1gB1VX,DILUVIO,['Rauw Alejandro'],0.845,0.795,9,-3.502,0,0.0681,0.343,1.78e-05,0.224,0.681,94.969,197053,4
6irysuQyZWd7Bjj7ePiOs2,Holanda,['Jhayco'],0.831,0.759,1,-3.627,0,0.0502,0.277,0.0,0.125,0.244,107.961,231693,4
